symbol,longName,quoteType,currency,search_country,marketCap,Market_Cap,name
688111.SS,"Beijing Kingsoft Office Software, Inc.",EQUITY,CNY,china,"{'raw': 75469758464, 'fmt': '75.47B', 'longFmt': '75,469,758,464'}",11015231862,kingsoft
603986.SS,GigaDevice Semiconductor (Beijing) Inc.,EQUITY,CNY,china,"{'raw': 75370373120, 'fmt': '75.37B', 'longFmt': '75,370,373,120'}",11000726017,gigadevice
601336.SS,New China Life Insurance Company Ltd.,EQUITY,CNY,china,"{'raw': 74869374976, 'fmt': '74.869B', 'longFmt': '74,869,374,976'}",10927602546,"new,china"
600547.SS,"Shandong Gold Mining Co., Ltd.",EQUITY,CNY,china,"{'raw': 74617847808, 'fmt': '74.618B', 'longFmt': '74,617,847,808'}",10890890754,"shandong,gold"
601877.SS,"Zhejiang Chint Electrics Co., Ltd.",EQUITY,CNY,china,"{'raw': 74173964288, 'fmt': '74.174B', 'longFmt': '74,173,964,288'}",10826103480,"zhejiang,chint"
300759.SZ,"Pharmaron Beijing Co., Ltd.",EQUITY,CNY,china,"{'raw': 73838297088, 'fmt': '73.838B', 'longFmt': '73,838,297,088'}",10777110981,pharmaron
000963.SZ,"Huadong Medicine Co., Ltd",EQUITY,CNY,china,"{'raw': 73072066560, 'fmt': '73.072B', 'longFmt': '73,072,066,560'}",10665275365,huadong
002001.SZ,Zhejiang NHU Company Ltd.,EQUITY,CNY,china,"{'raw': 73100017664, 'fmt': '73.1B', 'longFmt': '73,100,017,664'}",10669354985,nhu
002938.SZ,"Avary Holding(Shenzhen)Co., Limited",EQUITY,CNY,china,"{'raw': 72513036288, 'fmt': '72.513B', 'longFmt': '72,513,036,288'}",10583681782,avary
688063.SS,"Pylon Technologies Co., Ltd.",EQUITY,CNY,china,"{'raw': 71902273536, 'fmt': '71.902B', 'longFmt': '71,902,273,536'}",10494537554,"pylon,technologies"
002180.SZ,Ninestar Corporation,EQUITY,CNY,china,"{'raw': 71425564672, 'fmt': '71.426B', 'longFmt': '71,425,564,672'}",10424959238,ninestar
